Specification Number,Title,Responsible Group
03.41,Technical Realization of Short Message Service Cell Broadcast (SMSCB),C1
03.42,SMS Compression,C1
03.43,Support of Videotex,C3
03.44,Support of Teletex in a GSM Public Land Mobile Network (PLMN),C3
03.45,Technical Realization of Facsimile Group 3 Service - transparent,C3
03.46,Technical Realization of Facsimile Group 3 Service - non transparent,C3
03.47,Example Protocol Stacks for Interconnecting Service Centre(s) (SC) and Mobile Services Switching Centre(s) (MSC),C4
03.48,Security mechanisms for SIM application toolkit; Stage 2,C6
03.49,Example protocol stacks for interconnecting Cell Broadcast Centre (CBC) and Base Station Controler (BSC),C1
03.50,Transmission Planning Aspects of the Speech Service in the GSM Public Land Mobile Network (PLMN) System,S4
03.51,GSM/EDGE Radio Access Network (GERAN) overall description; Stage 2,G1
03.52,Lower layers of the GSM Cordless Telephony System (CTS) radio interface; Stage 2,R6
03.53,Tandem Free Operation (TFO); Service description; Stage 2,S4
03.54,Description for the use of a Shared Inter Working Function (SIWF) in a GSM PLMN; Stage 2,C3
03.55,Dual Transfer Mode (DTM); Stage 2,R6
03.56,"GSM Cordless Telephony System (CTS), Phase 1; CTS Architecture Description; Stage 2",S2
03.57,Mobile Station Application Execution Environment (MExE); Functional description; Stage 2,S2
03.58,"Characterisation, test methods and quality assessment for handsfree Mobile Stations (MSs)",S4
03.59,Location services (LCS) GERAN; Stage 2,G1
03.60,General Packet Radio Service (GPRS); Service description; Stage 2,S2
03.63,"Packet Data on Signalling channels service (PDS) Service description, Stage 2",C1
03.64,General Packet Radio Service (GPRS); Overall description of the GPRS radio interface; Stage 2,R6
03.66,Support of GSM Mobile Number Portability (MNP); Stage 2,C4
03.67,Enhanced Multi-Level Precedence and Pre-emption Service (eMLPP); Stage 2,C4
03.68,Voice Group Call Service (VGCS); Stage 2,C1
03.69,Voice Broadcast Service (VBS); Stage 2,C1
03.70,Routeing of Calls to/from Public Data Networks (PDN),C3
03.71,Location Services (LCS); Functional description; Stage 2,S2
03.72,Call Deflection  stage 2,C4
03.73,Support of Localised Service Area (SoLSA); Stage 2,C4
03.78,Ccustomized Applications for Mobile network Enhanced Logic (CAMEL) Phase 2; Stage 2,C4
03.79,Support of Optimal Routeing phase 1; Stage 2,C4
03.81,Line Identification Supplementary Services; Stage 2,C4
03.82,Call Forwarding (CF) Supplementary Services; Stage 2,C4
03.83,Call Waiting (CW) and Call Hold (HOLD) Supplementary Services; Stage 2,C4
03.84,Multi Party (MPTY) Supplementary Services; Stage 2,C4
03.85,Closed user Group (CUG) Supplementary Services; Stage 2,C4
03.86,Advice of Charge (AoC) Supplementary Services; Stage 2,C4
03.87,User-to-user signalling (UUS); Stage 2,C4
03.88,Call Barring (CB) supplementary services; Stage 2,C4
03.90,Unstructured Supplementary Service Data (USSD),C4
03.91,Explicit Call Transfer (ECT) Supplementary Service; Stage 2,C4
03.93,Technical realization of Completion of Calls to Busy Subscriber (CCBS); Stage 2,C4
03.96,Name Identification Supplementary Services; Stage 2,C4
03.97,Multiple subscriber Profile (MSP); Stage 2,C4
04.01,Mobile Station - Base Station System (MS - BSS) Interface General Aspects and Principles,C1
04.02,GSM Public Land Mobile Network (PLMN) Access Reference Configuration,C1
04.03,Mobile Station - Base Station System (MS - BSS) Interface Channel Structures and Access Capabilities,R6
04.04,Layer 1 - General Requirements,R6
04.05,Data Link (DL) Layer General Aspects,R6
04.06,Mobile Station - Base Stations System (MS - BSS) Interface Data Link (DL) Layer Specification,R6
04.07,Mobile Radio Interface Signalling Layer 3 - General Aspects,C1
04.08,Mobile radio interface layer 3 specification,C1
04.08dcs,Mobile radio interface layer 3 specification (DCS 1800),C1
04.08ext,"Mobile radio interface layer 3 specification, part 1 (Ext)",C1
04.09,Mobile Management Entity Specification,SMG3
04.10,Mobile Radio Interface  Layer 3 - Supplementary Services Specification - General Aspects,C4
04.11,Point-to-Point  (PP) Short Message Service (SMS) Support on Mobile Radio Interface,C1
04.12,Short Message Service Cell Broadcast (SMSCB) Support on the Mobile Radio Interface,R6
04.13,Performance Requirements on Mobile Radio Interface,C1
04.14,Individual equipment type requirements and interworking; Special conformance testing functions,R6
04.18,Mobile radio interface layer 3 specification; Radio Resource Control (RRC) protocol,R6
04.21,Rate Adaption on the Mobile Station - Base Station System (MS-BSS) Interface,C3
04.22,Radio Link Protocol (RLP) for data and telematic services on the Mobile Station - Base Station System (MS - BSS) interface and the Base Station System - Mobile-services Switching Centre (BSS - MSC) interface,C3
04.30,Location Services (LCS); Supplementary service operations; Stage 3,C4
04.31,Location Services (LCS); Mobile Station (MS) - Serving Mobile Location Centre (SMLC) Radio Resource LCS Protocol (RRLP),R6
04.35,Location Services (LCS); Broadcast network assistance for Enhanced Observed Time Difference (E-OTD) and Global Positioning System (GPS) positioning methods,R6
04.56,"GSM Cordless Telephony System (CTS), (Phase 1) CTS Radio Interface Layer 3 Specification",C1
04.57,"GSM Cordless Telephony System (CTS), (Phase 1) CTS CTS supervising system Layer 3 Specification",C1
04.60,General Packet Radio Service (GPRS); Mobile Station (MS) - Base Station System (BSS) interface; Radio Link Control/ Medium Access Control (RLC/MAC) protocol,R6
04.63,"Packet Data on Signalling channels Service (PDS) Service Description, Stage 3",C1
04.64,General Packet Radio Service (GPRS); Mobile Station - Serving GPRS Support Node (MS-SGSN) Logical Link Control (LLC) layer specification,C1
04.65,General Packet Radio Service (GPRS); Mobile Station (MS) - Serving GPRS Support Node (SGSN); Subnetwork Dependent Convergence Protocol (SNDCP),C1
04.67,Enhanced Multi-Level Precedence and Pre-emption service (eMLPP); Stage 3,C4
04.68,Group Call Control (GCC) Protocol,C1
04.69,Broadcast Call Control (BCC) protocol,C1
04.71,Location Services (LCS); Mobile radio interface layer 3 specification,R6
