Specification Number,Title,Responsible Group
24.080,Mobile radio interface layer 3 supplementary services specification; Formats and coding,C4
24.081,Line Identification supplementary services; Stage 3,C4
24.082,Call Forwarding (CF) supplementary services; Stage 3,C4
24.083,Call Waiting (CW) and Call Hold (HOLD) supplementary services; Stage 3,C4
24.084,Multi Party (MPTY) supplementary service; Stage 3,C4
24.085,Closed User Group (CUG) supplementary service; Stage 3,C4
24.086,Advice of Charge (AoC) supplementary services; Stage 3,C4
24.087,User-to-User Signalling (UUS) Supplementary Service; Stage 3,C4
24.088,Call Barring (CB) supplementary service; Stage 3,C4
24.090,Unstructured Supplementary Service Data (USSD); Stage 3,C4
24.091,Explicit Call Transfer (ECT) supplementary service; Stage 3,C4
24.093,Completion of Calls to Busy Subscriber (CCBS); Stage 3,C4
24.096,Name Identification supplementary services; Stage 3,C4
24.103,Telepresence using the IP Multimedia (IM) Core Network (CN) Subsystem (IMS); Stage 3,C1
24.105,Application specific Congestion control for Data Communication (ACDC) Management Object (MO),C1
24.109,Bootstrapping interface (Ub) and network application function interface (Ua); Protocol details,C1
24.116,Stage 3 aspects of system architecture enhancements for TV services  ,C1
24.117,TV service configuration Management Object (MO),C1
24.135,Multicall supplementary service; Stage 3,C4
24.139,3GPP system - fixed broadband access network interworking;  Stage 3,C1
24.141,Presence service using the IP Multimedia (IM) Core Network (CN) subsystem; Stage 3,C1
24.147,Conferencing using the IP Multimedia (IM) Core Network (CN) subsystem; Stage 3,C1
24.161,Network-Based IP Flow Mobility (NBIFOM); Stage 3,C1
24.166,3GPP IP Multimedia Subsystem (IMS) conferencing Management Object (MO),C1
24.167,3GPP IMS Management Object (MO); Stage 3,C1
24.171,Control Plane Location Services (LCS) procedures in the Evolved Packet System (EPS),C4
24.173,IMS Multimedia telephony communication service and supplementary services; Stage 3,C1
24.174,Support of multi-device and multi-identity in the IP Multimedia Subsystem (IMS); Stage 3,C1
24.175,Management Object (MO) for multi-device and multi-identity in the IP Multimedia Subsystem (IMS),C1
24.182,IP Multimedia Subsystem (IMS) Customized Alerting Tones (CAT); Protocol specification,C1
24.183,IP Multimedia Subsystem (IMS) Customized Ringing Signal (CRS); Protocol specification,C1
24.186,IMS Data Channel applications; Protocol specification,C1
24.193,"5G System;Access Traffic Steering, Switching and Splitting (ATSSS); Stage 3",C1
24.196,Enhanced Calling Name (eCNAM),C1
24.206,Voice call continuity between Circuit Switched (CS) and IP Multimedia Subsystem (IMS); Stage 3,C1
24.216,Communication Continuity Management Object (MO),C1
24.228,Signalling flows for the IP multimedia call control based on Session Initiation Protocol (SIP) and Session Description Protocol (SDP); Stage 3,C1
24.229,IP multimedia call control protocol based on Session Initiation Protocol (SIP) and Session Description Protocol (SDP); Stage 3,C1
24.234,3GPP system to Wireless Local Area Network (WLAN) interworking; WLAN User Equipment (WLAN UE) to network protocols; Stage 3,C1
24.235,3GPP System to Wireless Local Area Network (WLAN) interworking Management Object (MO),C1
24.237,IP Multimedia (IM) Core Network (CN) subsystem IP Multimedia Subsystem (IMS) service continuity; Stage 3,C1
24.238,Session Initiation Protocol (SIP) based user configuration; Stage 3,C1
24.239,Flexible Alerting (FA) using IP Multimedia (IM) Core Network (CN) subsystem; Protocol specification,C1
24.241,3GPP Generic User Profile (GUP) Common objects; Stage 3,C4
24.244,Wireless LAN control plane protocol for trusted WLAN access to EPC; Stage 3,C1
24.247,Messaging service using the IP Multimedia (IM) Core Network (CN) subsystem; Stage 3,C1
24.250,Protocol for Reliable Data Service; Stage 3,C1
24.257,Uncrewed Aerial System (UAS) Application Enabler (UAE) layer; Protocol aspects; Stage 3,C1
24.259,Personal Network Management (PNM); Stage 3,C1
24.268,Warning Systems Management Object (MO),C1
24.275,Management Object (MO) for Basic Communication Part (BCP) of IMS Multimedia Telephony (MMTEL) communication service,C1
24.279,Combining Circuit Switched (CS) and IP Multimedia Subsystem (IMS) services; Stage 3,C1
24.281,Mission Critical Video (MCVideo) signalling control; Protocol specification,C1
24.282,Mission Critical Data (MCData) signalling control; Protocol specification,C1
24.283,Mission Critical Location Management (MCLoc); Protocol Specification,C1
24.285,Allowed Closed Subscriber Group (CSG) list; Management Object (MO),C1
24.286,IP Multimedia (IM) Core Network (CN) subsystem Centralized Services (ICS); Management Object (MO),C1
24.292,IP Multimedia (IM) Core Network (CN) subsystem Centralized Services (ICS); Stage 3,C1
24.293,ICS Protocol over USSD bearer,C1
24.294,IP Multimedia Subsystem (IMS) Centralized Services (ICS) protocol via I1 interface,C1
24.301,Non-Access-Stratum (NAS) protocol for Evolved Packet System (EPS); Stage 3,C1
24.302,Access to the 3GPP Evolved Packet Core (EPC) via non-3GPP access networks; Stage 3,C1
24.303,Mobility management based on Dual-Stack Mobile IPv6; Stage 3,C1
24.304,Mobility management based on Mobile IPv4; User Equipment (UE) - foreign agent interface; Stage 3,C1
24.305,Selective Disabling of 3GPP User Equipment Capabilities (SDoUE) Management Object (MO),C1
24.312,Access Network Discovery and Selection Function (ANDSF) Management Object (MO),C1
24.315,IP Multimedia Subsystem (IMS) Operator Determined Barring (ODB); Stage 3: protocol specification,C1
24.322,Tunnelling of IP Multimedia Subsystem (IMS) services over restrictive access networks; Stage 3,C1
24.323,3GPP IP Multimedia Subsystem (IMS) service level tracing Management Object (MO),C1
24.327,Mobility between 3GPP Wireless Local Area Network (WLAN) interworking (I-WLAN) and 3GPP systems; General Packet Radio System (GPRS) and 3GPP I-WLAN aspects; Stage 3,C1
24.333,Proximity-services (ProSe) Management Objects (MO),C1
24.334,Proximity-services (ProSe) User Equipment (UE) to ProSe function protocol aspects; Stage 3,C1
24.337,IP Multimedia (IM) Core Network (CN) subsystem IP Multimedia Subsystem (IMS) inter-UE transfer; Stage 3,C1
24.341,Support of SMS over IP networks; Stage 3,C1
24.368,Non-Access Stratum (NAS) configuration Management Object (MO),C1
24.369,Ambient IoT Non-Access-Stratum (AIoT NAS) protocol for 5G System (5GS); Stage 3,C1
24.371,Web Real-Time Communications (WebRTC) access to the IP Multimedia (IM) Core Network (CN) subsystem (IMS); Stage 3; Protocol specification,C1
24.379,Mission Critical Push To Talk (MCPTT) call control; Protocol specification,C1
24.380,Mission Critical Push To Talk (MCPTT) media plane control; Protocol specification,C1
24.381,Mission Critical Push To Talk (MCPTT) group management; Protocol specification,C1
24.382,Mission Critical Push To Talk (MCPTT) identity management; Protocol specification,C1
24.383,Mission Critical Push To Talk (MCPTT) Management Object (MO),C1
24.384,Mission Critical Push To Talk (MCPTT) configuration management; Protocol specification,C1
24.385,V2X services Management Object (MO),C1
24.386,User Equipment (UE) to V2X control function; protocol aspects; Stage 3,C1
24.390,Unstructured Supplementary Service Data (USSD) using IP Multimedia (IM) Core Network (CN) subsystem IMS; Stage 3,C1
24.391,Unstructured Supplementary Service Data (USSD) using IP Multimedia (IM) Core Network (CN) subsystem (IMS) Management Object (MO),C1
24.392,Application enablement aspects for MMTel; Protocol specification,C1
24.403,"TISPAN; IP Multimedia Call Control Protocol based on Session Initiation Protocol (SIP) and Session Description Protocol (SDP) Stage 3 [3GPP TS 24.229 (Release 7), modified]",C1
24.404,TISPAN; PSTN/ISDN simulation services: Communication Diversion (CDIV); Protocol specification,C1
24.405,TISPAN; PSTN/ISDN simulation services: Conference (CONF); Protocol specification,C1
24.406,TISPAN; PSTN/ISDN simulation services; Message Waiting Indication (MWI): Protocol specification,C1
24.407,TISPAN; PSTN/ISDN simulation services; Originating Identification Presentation (OIP) and Originating Identification Restriction (OIR); Protocol specification,C1
24.408,TISPAN; PSTN/ISDN simulation services Terminating Identification Presentation (TIP) and Terminating Identification Restriction (TIR); Protocol specification,C1
24.410,TISPAN; NGN Signalling Control Protocol; Communication HOLD (HOLD) PSTN/ISDN simulation services; Protocol specification,C1
24.411,TISPAN; PSTN/ISDN simulation services: Anonymous Communication Rejection (ACR) and Communication Barring (CB); Protocol specification,C1
24.412,TISPAN; Interworking; Trunking Gateway Control Procedures for interworking between NGN and external CS networks,C3
24.416,TISPAN; PSTN/ISDN simulation services; Malicious Communication Identification (MCID); Protocol specification,C1
24.417,Management Object (MO) for Originating Identification Presentation (OIP) and Originating Identification Restriction (OIR) using IP Multimedia (IM) Core Network (CN) subsystem,C1
24.423,TISPAN; PSTN/ISDN simulation services; Extensible Markup Language (XML) Configuration Access Protocol (XCAP) over the Ut interface for Manipulating NGN PSTN/ISDN Simulation Services,C1
24.424,Management Object (MO) for Extensible Markup Language (XML) Configuration Access Protocol (XCAP) over the Ut interface for Manipulating Supplementary Services (SS),C1
24.428,TISPAN; Common Basic Communication procedures; Protocol specification,C1
24.429,TISPAN; PSTN/ISDN simulation services: Explicit Communication Transfer (ECT); Protocol specification,C1
24.430,"TISPAN; Presence Service Capability; Protocol Specification [3GPP TS 24.141 V7.0.0, modified and OMA-TS-Presence_SIMPLE-V1_0, modified]",C1
24.437,"Digital asset, Spatial mapping and Spatial anchors server - Service Enabler Architecture Layer for Verticals (SEAL); Protocol specification;",C1
24.441,TISPAN; Messaging service using the IP Multimedia (IM) Core Network (CN) subsystem; Stage 3: Protocol specifications [Endorsement of 3GPP TS 24.247 Release 6],C1
24.447,TISPAN; NGN IMS Supplementary Services; Advice Of Charge (AOC),C1
24.451,TISPAN; Support of SMS and MMS over NGN IMS subsystem; Stage 3 [Endorsement of 3GPP TS 24.341 Release 7],C1
24.454,TISPAN; PSTN/ISDN simulation services; Protocol specification Closed User Group (CUG),C1
24.458,TISPAN; SIP Transfer of IP Multimedia Service Tariff Information; Protocol specification,C1
24.481,Mission Critical Services (MCS) group management; Protocol specification,C1
24.482,Mission Critical Services (MCS) identity management; Protocol specification ,C1
24.483,Mission Critical Services (MCS) Management Object (MO),C1
24.484,Mission Critical Services (MCS) configuration management; Protocol specification,C1
24.486,Vehicle-to-Everything (V2X) Application Enabler (VAE) layer; Protocol aspects; Stage 3,C1
24.501,Non-Access-Stratum (NAS) protocol for 5G System (5GS); Stage 3,C1
24.502,Access to the 3GPP 5G Core Network (5GCN) via non-3GPP access networks,C1
24.503,"TISPAN; IP Multimedia Call Control Protocol based on Session Initiation Protocol (SIP) and Session Description Protocol (SDP) Stage 3 [3GPP TS 24.229 (Release 7), modified]",C1
24.504,TISPAN; PSTN/ISDN simulation services: Communication Diversion (CDIV); Protocol specification,C1
24.505,TISPAN; PSTN/ISDN simulation services: Conference (CONF); Protocol specification,C1
24.508,TISPAN; PSTN/ISDN simulation services Terminating Identification Presentation (TIP) and Terminating Identification Restriction (TIR); Protocol specification,C1
24.514,Ranging based services and sidelink positioning in 5G system(5GS); Stage 3,C1
24.516,TISPAN; PSTN/ISDN simulation services; Malicious Communication Identification (MCID); Protocol specification,C1
24.519,5G System (5GS); Time-Sensitive Networking (TSN) Application Function (AF) to Device-Side TSN Translator (DS-TT) and Network-Side TSN Translator (NW-TT) protocol aspects; Stage 3,C1
24.523,Core and enterprise Next Generation Network (NGN) interaction scenarios; Architecture and functional description,C1
24.524,"Hosted enterprise services; Architecture, functional description and signalling",C1
24.525,Business trunking; Architecture and functional description,C1
24.526,User Equipment (UE) policies for 5G System (5GS); Stage 3,C1
24.528,TISPAN; Common Basic Communication procedures; Protocol specification,C1
24.529,TISPAN; PSTN/ISDN simulation services: Explicit Communication Transfer (ECT); Protocol specification,C1
24.534,User Equipment (UE) – Time-Sensitive Networking (TSN) Translator N60 interface specification,C1
24.535,5G System (5GS); Device-Side Time Sensitive Networking (TSN) Translator (DS-TT) to Network-Side TSN Translator (NW-TT) protocol aspects; Stage 3,C1
24.538,Enabling MSGin5G Service; Protocol specification,C1
24.539,5G System (5GS); Network to TSN translator (TT) protocol aspects; Stage 3,C1
24.542,Notification management - Service Enabler Architecture Layer for Verticals (SEAL); Protocol specification;,C1
24.543,Data delivery management - Service Enabler Architecture Layer for Verticals (SEAL); Protocol Specification; ,C1
24.544,Group Management - Service Enabler Architecture Layer for Verticals (SEAL); Protocol specification,C1
24.545,Location Management - Service Enabler Architecture Layer for Verticals (SEAL); Protocol specification,C1
24.546,Configuration management - Service Enabler Architecture Layer for Verticals (SEAL); Protocol specification,C1
24.547,Identity management - Service Enabler Architecture Layer for Verticals (SEAL); Protocol specification,C1
24.548,Network Resource Management - Service Enabler Architecture Layer for Verticals (SEAL); Protocol specification,C1
24.549,Network slice capability enablement- Service Enabler Architecture Layer for Verticals (SEAL); Protocol specification; Stage 3,C1
24.550,"Digital asset, Spatial mapping and Spatial anchors server - Service Enabler Architecture Layer for Verticals (SEAL); Protocol specification;",C1
24.554,Proximity-services (ProSe) in 5G System (5GS) protocol aspects; Stage 3,C1
24.555,Proximity-services (ProSe) in 5G System (5GS); User Equipment (UE) policies; Stage 3,C1
24.558,Enabling Edge Applications; Protocol specification,C1
24.559,Application Data Analytics Enablement Service (ADAES); Stage 3,C1
24.560,Artificial Intelligence Machine Learning (AIML) Services - Service Enabler Architecture Layer for Verticals (SEAL); Protocol Specification; Stage 3,C1
24.568,WLAN connectivity for 5GS Management Object (MO),C1
24.571,5G System (5GS); Control plane Location Services (LCS) procedures; Stage 3,C1
24.572,5G System (5GS); User plane Location Services (LCS) protocols and procedures; Stage 3,C1
24.575,5G System; Multicast/Broadcast UE pre-configuration Management Object (MO),C1
24.577,Aircraft-to-Everything (A2X) services in 5G System (5GS) protocol aspects; Stage 3,C1
24.578,Aircraft-to-Everything (A2X) services in 5G System (5GS); UE policies,C1
24.581,Mission Critical Video (MCVideo) media plane control; Protocol specification,C1
24.582,Mission Critical Data (MCData) media plane control; Protocol specification,C1
24.583,Application layer support for Personal IoT Network (PINAPP); Stage 3,C1
24.587,Vehicle-to-Everything (V2X) services in 5G System (5GS); Stage 3,C1
24.588,Vehicle-to-Everything (V2X) services in 5G System (5GS); User Equipment (UE) policies; Stage 3,C1
24.604,Communication Diversion (CDIV) using IP Multimedia (IM) Core Network (CN) subsystem;  Protocol specification,C1
24.605,Conference (CONF) using IP Multimedia (IM) Core Network (CN) subsystem; Protocol specification,C1
24.606,Message Waiting Indication (MWI) using IP Multimedia (IM) Core Network (CN) subsystem; Protocol specification,C1
24.607,Originating Identification Presentation (OIP) and Originating Identification Restriction (OIR) using IP Multimedia (IM)  Core Network (CN) subsystem; Protocol specification,C1
24.608,Terminating Identification Presentation (TIP) and Terminating Identification Restriction (TIR) using IP Multimedia (IM)  Core Network (CN) subsystem; Protocol specification,C1
24.610,Communication HOLD (HOLD) using IP Multimedia (IM) Core Network (CN) subsystem; Protocol specification,C1
24.611,Anonymous Communication Rejection (ACR) and Communication Barring (CB) using IP Multimedia (IM)  Core Network (CN) subsystem; Protocol specification,C1
24.612,TISPAN; Interworking; Trunking Gateway Control Procedures for interworking between NGN and external CS networks,C3
24.615,Communication Waiting (CW) using IP Multimedia (IM) Core Network (CN) subsystem; Protocol Specification,C1
24.616,Malicious Communication Identification (MCID) using IP Multimedia (IM) Core Network (CN) subsystem; Protocol specification,C1
24.623,Extensible Markup Language (XML) Configuration Access Protocol (XCAP) over the Ut interface for Manipulating Supplementary Services,C1
24.628,Common Basic Communication procedures using IP Multimedia (IM) Core Network (CN) subsystem; Protocol specification,C1
24.629,Explicit Communication Transfer (ECT) using IP Multimedia (IM) Core Network (CN) subsystem; Protocol specification,C1
24.642,Completion of Communications to Busy Subscriber (CCBS) and Completion of Communications by No Reply (CCNR) using IP Multimedia (IM) Core Network (CN) subsystem; Protocol specification,C1
24.647,Advice Of Charge (AOC) using IP Multimedia (IM) Core Network (CN) subsystem,C1
24.654,"Closed User Group (CUG) using IP Multimedia (IM) Core Network (CN) subsystem, Protocol Specification",C1
24.658,TISPAN; SIP Transfer of IP Multimedia Service Tariff Information; Protocol specification,C1
24.801,3GPP System Architecture Evolution (SAE); CT WG1 aspects,C1
24.802,Study on Indication of Network to Network Interface (NNI) routeing scenarios in Session Initiation Protocol (SIP) requests in the IP Multimedia Subsystem (IMS),C3
24.803,Study on telepresence using the IP Multimedia (IM) Core Network (CN) Subsystem (IMS); Stage 3,C1
24.811,Study on the support for minimization of service interruption,C1
24.812,Study on MINT support in EPS for 5G-only national roaming UE,C1
24.819,Protocol impact from providing IMS services via fixed broadband; Stage-3,C1
24.820,3GPP system to fixed broadband access network interworking,C1
24.821,Study on PLMN selection for satellite access ,C1
24.826,Study on impacts on signalling between User Equipment (UE) and core network from energy saving,C1
24.837,IP Multimedia (IM) Core Network (CN) subsystem inter-UE transfer enhancements; Stage 3,C1
24.841,"Presence service based on Session Initiation Protocol (SIP); Functional models, information flows and protocol details",C1
24.879,Combining Circuit-Switched (CS) calls and IP Multimedia Subsystem  (IMS) sessions,C1
24.880,Media server control using the IP Multimedia (IM) Core Network (CN) subsystem; Stage 3,C1
24.883,Mission Critical (MC) systems connection to  Land Mobile Radio (LMR) systems; Stage-3,C1
24.885,Mission Critical (MC) system migration and interconnection,C1
24.890,CT WG1 aspects of 5G; System Phase 1,C1
24.930,Signalling flows for the session setup in the IP Multimedia core network Subsystem (IMS) based on Session Initiation Protocol (SIP)  and Session Description Protocol (SDP); Stage 3,C1
24.969,Business trunking; Next Generation Corporate Network (NGCN) - Next Generation Network (NGN) interfaces implementation guide,C1
24.979,Combining Circuit-Switched (CS) calls and IP Multimedia Subsystem  (IMS) sessions,C1
24.980,Minimum requirements for support of MCPTT service over the Gm reference point,C1
25.101,User Equipment (UE) radio transmission and reception (FDD),R4
25.102,User Equipment (UE) radio transmission and reception (TDD),R4
25.103,RF parameters in support of RRM,R4
25.104,Base Station (BS) radio transmission and reception (FDD),R4
25.105,Base Station (BS) radio transmission and reception (TDD),R4
25.106,UTRA repeater radio transmission and reception,R4
25.111,Location Measurement Unit (LMU) performance specification; User Equipment (UE) positioning in UTRAN,R4
25.113,Base station (BS) and repeater electromagnetic compatibility (EMC),R4
25.116,UTRA repeater radio transmission and reception (LCR TDD),R4
25.123,Requirements for support of radio resource management  (TDD),R4
25.133,Requirements for support of radio resource management  (FDD),R4
25.141,Base Station (BS) conformance testing (FDD),R4
25.142,Base Station (BS) conformance testing (TDD),R4
25.143,UTRA repeater conformance testing,R4
25.144,User Equipment (UE) and Mobile Station (MS) over the air performance requirements,R4
25.153,UTRA repeater conformance testing (LCR TDD),R4
25.171,Requirements for support of Assisted Global Positioning System (A-GPS); Frequency Division Duplex (FDD),R4
25.172,Requirements for support of Assisted Galileo and Additional Navigation Satellite Systems (A-GANSS) Frequency Division Duplex (FDD),R4
25.173,Requirements for support of Assisted Galileo and Additional Navigation Satellite Systems (A-GANSS) Time Division Duplex (TDD),R4
25.201,Physical layer - general description,RP
25.202,7.68 Mcps Time Division Duplex (TDD) option; Overall description: Stage 2,RP
25.211,Physical channels and mapping of transport channels onto physical channels (FDD),RP
25.212,Multiplexing and channel coding (FDD),RP
25.213,Spreading and modulation (FDD),RP
25.214,Physical layer procedures (FDD),RP
25.215,Physical layer; Measurements (FDD),RP
25.221,Physical channels and mapping of transport channels onto physical channels (TDD),RP
25.222,Multiplexing and channel coding  (TDD),RP
25.223,Spreading and modulation (TDD),RP
25.224,Physical layer procedures (TDD),RP
25.225,Physical layer; Measurements (TDD),RP
25.231,Physical layer - Measurements,R1
25.300,Universal Terrestrial Radio Access Network (UTRAN); General description; Stage 2,RP
25.301,Radio interface protocol architecture,RP
25.302,Services provided by the physical layer,RP
25.303,Interlayer procedures in Connected Mode,RP
25.304,User Equipment (UE) procedures in idle mode and procedures for cell reselection in connected mode,RP
25.305,Stage 2 functional specification of User Equipment (UE) positioning in UTRAN,RP
25.306,UE Radio Access capabilities,RP
25.307,Requirements on User Equipments (UEs) supporting a release-independent frequency band,RP
25.308,High Speed Downlink Packet Access (HSDPA); Overall description; Stage 2,RP
25.309,FDD enhanced uplink; Overall description; Stage 2,RP
25.317,High Speed Packet Access (HSPA); Requirements on User Equipments (UEs) supporting a release-independent frequency band combination,R2
25.319,Enhanced uplink; Overall description; Stage 2,RP
25.321,Medium Access Control (MAC) protocol specification,RP
25.322,Radio Link Control (RLC)  protocol specification,RP
25.323,Packet Data Convergence Protocol (PDCP) specification,RP
25.324,Broadcast/Multicast Control (BMC),RP
25.327,High Speed Packet Access (HSPA); Requirements on User Equipments (UEs) supporting a release-independent frequency band and multi-carrier configuration,RP
25.331,Radio Resource Control (RRC); Protocol specification,RP
25.346,Introduction of the Multimedia Broadcast/Multicast Service (MBMS) in the Radio Access Network (RAN); Stage 2,RP
25.367,Mobility procedures for Home Node B (HNB); Overall description; Stage 2,RP
25.401,UTRAN overall description,R3
25.402,Synchronisation in UTRAN Stage 2,R3
25.409,Enhanced uplink UTRA FDD; Stage 3,R3
25.410,UTRAN Iu interface: General aspects and principles,R3
25.411,UTRAN Iu interface layer 1,R3
25.412,UTRAN Iu interface signalling transport,R3
25.413,UTRAN Iu interface Radio Access Network Application Part (RANAP) signalling,R3
25.414,UTRAN Iu interface data transport and transport signalling,R3
25.415,UTRAN Iu interface user plane protocols,R3
25.419,UTRAN Iu-BC interface: Service Area Broadcast Protocol (SABP),R3
25.420,UTRAN Iur interface general aspects and principles,R3
25.421,UTRAN Iur interface layer 1,R3
25.422,UTRAN Iur interface signalling transport,R3
25.423,UTRAN Iur interface Radio Network Subsystem Application Part (RNSAP) signalling,R3
25.424,UTRAN Iur interface data transport & transport signalling for Common Transport Channel data streams,R3
25.425,UTRAN Iur interface user plane protocols for Common Transport Channel data streams,R3
25.426,UTRAN Iur and Iub interface data transport & transport signalling for DCH data streams,R3
25.427,UTRAN Iub/Iur interface user plane protocol for DCH data streams,R3
25.430,UTRAN Iub Interface: general aspects and principles,R3
25.431,UTRAN Iub interface Layer 1,R3
25.432,UTRAN Iub interface: signalling transport,R3
25.433,UTRAN Iub interface Node B Application Part (NBAP) signalling,R3
25.434,UTRAN Iub interface data transport and transport signalling for Common Transport Channel data streams,R3
25.435,UTRAN Iub interface user plane protocols for Common Transport Channel data streams,R3
25.442,UTRAN implementation-specific O&M transport,R3
25.444,Iuh data transport,R3
25.446,MBMS synchronisation protocol (SYNC),R3
25.450,UTRAN Iupc interface general aspects and principles,R3
25.451,UTRAN Iupc interface layer 1,R3
25.452,UTRAN Iupc interface: signalling transport,R3
25.453,UTRAN Iupc interface Positioning Calculation Application Part (PCAP) signalling,R3
25.460,UTRAN Iuant interface: General aspects and principles,R3
25.461,UTRAN Iuant interface: Layer 1,R3
25.462,UTRAN Iuant interface: Signalling transport,R3
25.463,UTRAN Iuant interface: Remote Electrical Tilting (RET) antennas Application Part (RETAP) signalling,R3
25.466,UTRAN Iuant interface: Application part,R3
25.467,UTRAN architecture for 3G Home Node B (HNB); Stage 2,R3
25.468,UTRAN Iuh Interface RANAP User Adaption (RUA) signalling,R3
25.469,UTRAN Iuh interface Home Node B (HNB) Application Part (HNBAP) signalling,R3
25.470,UTRAN Iuh Interface PCAP User Adaption (PUA) signalling,R3
25.471,UTRAN Iurh interface Radio Network Subsystem Application Part (RNSAP) User Adaption (RNA) signalling,R3
25.484,Automatic Neighbour Relation (ANR) for UTRAN; Stage 2,R3
25.700,Study on Further Enhanced Uplink (EUL) enhancements,RP
25.701,Study on scalable UMTS Frequency Division Duplex (FDD) bandwidth,RP
25.702,Study on Dedicated Channel (DCH) enhancements for UMTS,RP
25.703,Universal Terrestrial Radio Access (E-UTRA); Study on Home Node B (HNB) emergency warning area,R3
25.704,Study on enhanced broadcast of system information,RP
25.705,Study on Small data transmission enhancements for UMTS,RP
25.706,Technical Report on Downlink Enhancements for UMTS,RP
25.707,Multi-carrier enhancements for UMTS,RP
25.708,Study on scheduling enhancements with carrier aggregation for UMTS,RP
25.709,Study on a simplified HS-SCCH for UMTS,RP
25.756,RAN sharing enhancements for UMTS,R3
25.766,Study on Network-Assisted Interference Cancellation and Suppression for UMTS,RP
25.800,Technical Report on UMTS Heterogeneous Networks,RP
25.801,Feasibility study for improved access to User Equipment (UE) measurement data for Controlling Radio Network Controller (CRNC) to support Time Division Duplex (TDD) Radio Resource Management (RRM),R3
25.802,Remote control of electrical tilting antennas,R3
25.803,S-CCPCH performance for Multimedia Broadcast/Multicast Service (MBMS),RP
25.804,Feasibility study on uplink enhancements for UTRA TDD,RP
25.805,DS-CDMA introduction in the 800 MHz band,R4
25.806,UMTS 1700/2100MHz Work Item,R4
25.807,Low output powers for general purpose Frequency Division Duplex (FDD) Base Station (BS),R3
25.808,FDD enhanced uplink; Physical layer aspects,RP
25.809,7.68 Mcps TDD option: Physical layer,RP
25.810,UMTS 2.6 GHz (FDD) Work Item Technical Report,R4
25.811,UMTS 2.6 GHz TDD Work Item Technical Report,R4
25.812,Requirements for evolved Universal Terrestrial Radio Access (UTRA) and Universal Terrestrial Radio Access Network (UTRAN),RP
25.813,Evolved Universal Terrestrial Radio Access (E-UTRA) and Evolved Universal Terrestrial Radio Access Network (E-UTRAN); Radio interface protocol aspects,RP
25.814,Physical layer aspect for evolved Universal Terrestrial Radio Access (UTRA),RP
25.815,Signalling enhancements for Circuit Switched (CS) and Packet Switched (PS) connections; Analyses and recommendations,RP
25.816,UMTS 900 MHz Work Item technical teport,RP
25.817,UMTS 1700 Work item Technical Report,R4
25.818,UTRA tower mounted amplifier (FDD) study item technical report,R4
25.819,7.68 Mcps TDD option: Layer 2 and 3 protocol aspects,R2
25.820,3G Home Node B (HNB) study item Technical Report,R4
25.821,UMTS1500 MHz work item technical report,R4
25.822,UMTS 700 MHz Work Item Technical Report,R4
25.823,Feasibility study on synchronized E-DCH for UTRA FDD,RP
25.824,Scope of HighSpeed Packet Access (HSPA) Evolution for 1.28Mcps TDD,RP
25.825,Dual-cell High Speed Downlink Packet Access (HSDPA) operation,R1
25.826,3.84 Mcps TDD enhanced uplink; Physical layer aspects,RP
25.827,1.28 Mcps TDD ehanced uplink; Physical layer aspects,RP
25.828,UMTS 2300 TDD Work Item Technical Report,R4
25.829,"7.68 Mcps TDD opption: RF transmission/reception, System performance requirements and conformance testing",R4
25.830,HS-PDSCH serving cell change procedure and performance,R1
25.831,Study Items for future release,R3
25.832,Manifestations of Handover and SRNS relocation,R3
25.833,Physical layer items not for inclusion in Release 99,RP
25.834,UTRA TDD low chip rate option; Radio protocol aspects,RP
25.835,Report on hybrid ARQ type II/III,R2
25.836,Node B synchronization for TDD,RP
25.837,Hybrid ARQ Type II/III (Iub/Iur aspects),R3
25.838,Node B Synchronisation for TDD (Iub/Iur aspects),R3
25.839,Uplink Synchronous Transmission Scheme (USTS) (Iur/Iub aspects),R3
25.840,Terminal power saving features,RP
25.841,DSCH power control improvement in soft handover,RP
25.842,Smart antenna,R1
25.843,1.28 Mcps TDD UE Radio Access Capabilities,RP
25.844,Radio acces bearer support enhancements,RP
25.845,FDD RACH and AICH performance requirements,R4
25.846,CPCH performance,R4
25.847,UE positioning enhancements,RP
25.848,Physical Layer Aspects of UTRA High Speed Downlink Packet Access,RP
25.849,DSCH power control improvement in soft handover,R3
25.850,UE positioning in UTRAN Iub/Iur protocol aspects,R3
25.851,RAB Quality of Service (QoS) Renegotiation over Iu,R3
25.852,Iu enhancements for IP Multimedia (IMS) support in UTRAN,R3
25.853,Delay budget within the access stratum,R3
25.854,Uplink Synchronous Transmission Scheme (USTS),RP
25.855,High Speed Downlink Packet Access (HSDPA); Overall UTRAN description,R2
25.856,High Speed Downlink Packet Access (HSDPA); Layer 2 and 3 aspects,R2
25.857,UE positioning enhancements,R2
25.858,Physical layer aspects of UTRA High Speed Downlink Packet Access,RP
25.859,User Equipment (UE) positioning enhancements for 1.28 Mcps TDD,RP
25.860,Radio acces bearer support enhancements,RP
25.861,RNC - SMLC location protocol,R2
25.862,RAB support for IMS,RP
25.863,Universal Terrestrial Radio Access (UTRA); Uplink transmit diversity for High Speed Packet Access (HSPA),R4
25.864,Downlink configurations for Four-carrier High Speed Download Packet Access (4C-HSDPA),R4
25.865,Improvements of distributed antenna for 1.28 Mcps TDD,RP
